timestamp,device,kwh,location
2026-04-15 18:00:00,HVAC_Block_A,1.793,Main
2026-04-15 18:00:00,Lab_PCs,2.62,Main
2026-04-15 18:00:00,Corridor_Lights,2.87,Main
2026-04-15 18:00:00,Server_Room_AC,1.621,Main
2026-04-15 18:00:00,Canteen_Equipment,1.839,Main
2026-04-15 19:00:00,HVAC_Block_A,2.086,Main
2026-04-15 19:00:00,Lab_PCs,1.775,Main
2026-04-15 19:00:00,Corridor_Lights,1.567,Main
2026-04-15 19:00:00,Server_Room_AC,2.831,Main
2026-04-15 19:00:00,Canteen_Equipment,1.5,Main
2026-04-15 20:00:00,HVAC_Block_A,1.386,Main
2026-04-15 20:00:00,Lab_PCs,2.492,Main
2026-04-15 20:00:00,Corridor_Lights,1.268,Main
2026-04-15 20:00:00,Server_Room_AC,2.845,Main
2026-04-15 20:00:00,Canteen_Equipment,2.408,Main
2026-04-15 21:00:00,HVAC_Block_A,1.948,Main
2026-04-15 21:00:00,Lab_PCs,1.206,Main
2026-04-15 21:00:00,Corridor_Lights,1.678,Main
2026-04-15 21:00:00,Server_Room_AC,2.468,Main
2026-04-15 21:00:00,Canteen_Equipment,1.865,Main
2026-04-15 22:00:00,HVAC_Block_A,2.721,Main
2026-04-15 22:00:00,Lab_PCs,2.923,Main
2026-04-15 22:00:00,Corridor_Lights,1.345,Main
2026-04-15 22:00:00,Server_Room_AC,2.25,Main
2026-04-15 22:00:00,Canteen_Equipment,2.4,Main
2026-04-15 23:00:00,HVAC_Block_A,2.477,Main
2026-04-15 23:00:00,Lab_PCs,2.583,Main
2026-04-15 23:00:00,Corridor_Lights,1.958,Main
2026-04-15 23:00:00,Server_Room_AC,1.764,Main
2026-04-15 23:00:00,Canteen_Equipment,1.156,Main
2026-04-16 00:00:00,HVAC_Block_A,1.504,Main
2026-04-16 00:00:00,Lab_PCs,2.658,Main
2026-04-16 00:00:00,Corridor_Lights,2.678,Main
2026-04-16 00:00:00,Server_Room_AC,1.835,Main
2026-04-16 00:00:00,Canteen_Equipment,2.554,Main
2026-04-16 01:00:00,HVAC_Block_A,1.957,Main
2026-04-16 01:00:00,Lab_PCs,1.606,Main
2026-04-16 01:00:00,Corridor_Lights,1.762,Main
2026-04-16 01:00:00,Server_Room_AC,2.069,Main
2026-04-16 01:00:00,Canteen_Equipment,2.325,Main
2026-04-16 02:00:00,HVAC_Block_A,1.738,Main
