timestamp,device,kwh,location
2026-04-15 17:00:00,HVAC_Block_A,1.171,Main
2026-04-15 17:00:00,Lab_PCs,2.852,Main
2026-04-15 17:00:00,Corridor_Lights,2.78,Main
2026-04-15 17:00:00,Server_Room_AC,2.287,Main
2026-04-15 17:00:00,Canteen_Equipment,2.12,Main
2026-04-15 18:00:00,HVAC_Block_A,2.409,Main
2026-04-15 18:00:00,Lab_PCs,2.364,Main
2026-04-15 18:00:00,Corridor_Lights,1.641,Main
2026-04-15 18:00:00,Server_Room_AC,1.125,Main
2026-04-15 18:00:00,Canteen_Equipment,2.983,Main
2026-04-15 19:00:00,HVAC_Block_A,1.804,Main
2026-04-15 19:00:00,Lab_PCs,2.789,Main
2026-04-15 19:00:00,Corridor_Lights,1.645,Main
2026-04-15 19:00:00,Server_Room_AC,1.936,Main
2026-04-15 19:00:00,Canteen_Equipment,1.805,Main
2026-04-15 20:00:00,HVAC_Block_A,1.093,Main
2026-04-15 20:00:00,Lab_PCs,1.6,Main
2026-04-15 20:00:00,Corridor_Lights,2.733,Main
2026-04-15 20:00:00,Server_Room_AC,2.941,Main
2026-04-15 20:00:00,Canteen_Equipment,2.384,Main
2026-04-15 21:00:00,HVAC_Block_A,1.16,Main
2026-04-15 21:00:00,Lab_PCs,2.631,Main
2026-04-15 21:00:00,Corridor_Lights,2.612,Main
2026-04-15 21:00:00,Server_Room_AC,2.694,Main
2026-04-15 21:00:00,Canteen_Equipment,1.063,Main
2026-04-15 22:00:00,HVAC_Block_A,1.218,Main
2026-04-15 22:00:00,Lab_PCs,1.58,Main
2026-04-15 22:00:00,Corridor_Lights,1.641,Main
2026-04-15 22:00:00,Server_Room_AC,1.843,Main
2026-04-15 22:00:00,Canteen_Equipment,2.348,Main
2026-04-15 23:00:00,HVAC_Block_A,1.952,Main
2026-04-15 23:00:00,Lab_PCs,1.277,Main
2026-04-15 23:00:00,Corridor_Lights,1.418,Main
2026-04-15 23:00:00,Server_Room_AC,1.191,Main
2026-04-15 23:00:00,Canteen_Equipment,2.163,Main
2026-04-16 00:00:00,HVAC_Block_A,1.308,Main
2026-04-16 00:00:00,Lab_PCs,2.298,Main
2026-04-16 00:00:00,Corridor_Lights,2.784,Main
2026-04-16 00:00:00,Server_Room_AC,2.913,Main
2026-04-16 00:00:00,Canteen_Equipment,2.848,Main
2026-04-16 01:00:00,HVAC_Block_A,1.149,Main
2026-04-16 01:00:00,Lab_PCs,1.761,Main
2026-04-16 01:00:00,Corridor_Lights,2.959,Main
2026-04-16 01:00:00,Server_Room_AC,1.723,Main
2026-04-16 01:00:00,Canteen_Equipment,1.093,Main
2026-04-16 02:00:00,HVAC_Block_A,1.474,Main
2026-04-16 02:00:00,Lab_PCs,2.514,Main
2026-04-16 02:00:00,Corridor_Lights,2.161,Main
2026-04-16 02:00:00,Server_Room_AC,1.126,Main
2026-04-16 02:00:00,Canteen_Equipment,1.712,Main
2026-04-16 03:00:00,HVAC_Block_A,2.959,Main
2026-04-16 03:00:00,Lab_PCs,1.735,Main
2026-04-16 03:00:00,Corridor_Lights,2.861,Main
2026-04-16 03:00:00,Server_Room_AC,2.421,Main
2026-04-16 03:00:00,Canteen_Equipment,1.008,Main
2026-04-16 04:00:00,HVAC_Block_A,1.706,Main
2026-04-16 04:00:00,Lab_PCs,1.814,Main
2026-04-16 04:00:00,Corridor_Lights,2.426,Main
2026-04-16 04:00:00,Server_Room_AC,1.336,Main
2026-04-16 04:00:00,Canteen_Equipment,1.846,Main
2026-04-16 05:00:00,HVAC_Block_A,1.203,Main
2026-04-16 05:00:00,Lab_PCs,1.042,Main
2026-04-16 05:00:00,Corridor_Lights,1.893,Main
2026-04-16 05:00:00,Server_Room_AC,1.524,Main
2026-04-16 05:00:00,Canteen_Equipment,2.106,Main
2026-04-16 06:00:00,HVAC_Block_A,1.716,Main
2026-04-16 06:00:00,Lab_PCs,2.42,Main
2026-04-16 06:00:00,Corridor_Lights,2.629,Main
2026-04-16 06:00:00,Server_Room_AC,1.684,Main
2026-04-16 06:00:00,Canteen_Equipment,8.622,Main
2026-04-16 07:00:00,HVAC_Block_A,2.575,Main
2026-04-16 07:00:00,Lab_PCs,2.881,Main
2026-04-16 07:00:00,Corridor_Lights,2.59,Main
2026-04-16 07:00:00,Server_Room_AC,1.433,Main
2026-04-16 07:00:00,Canteen_Equipment,2.654,Main
2026-04-16 08:00:00,HVAC_Block_A,2.138,Main
2026-04-16 08:00:00,Lab_PCs,1.498,Main
2026-04-16 08:00:00,Corridor_Lights,1.88,Main
2026-04-16 08:00:00,Server_Room_AC,1.503,Main
2026-04-16 08:00:00,Canteen_Equipment,1.597,Main
2026-04-16 09:00:00,HVAC_Block_A,2.08,Main
2026-04-16 09:00:00,Lab_PCs,2.689,Main
2026-04-16 09:00:00,Corridor_Lights,2.657,Main
2026-04-16 09:00:00,Server_Room_AC,1.217,Main
2026-04-16 09:00:00,Canteen_Equipment,2.824,Main
2026-04-16 10:00:00,HVAC_Block_A,1.232,Main
2026-04-16 10:00:00,Lab_PCs,1.903,Main
2026-04-16 10:00:00,Corridor_Lights,2.854,Main
2026-04-16 10:00:00,Server_Room_AC,2.524,Main
2026-04-16 10:00:00,Canteen_Equipment,1.962,Main
2026-04-16 11:00:00,HVAC_Block_A,3.417,Main
2026-04-16 11:00:00,Lab_PCs,1.702,Main
2026-04-16 11:00:00,Corridor_Lights,3.44,Main
2026-04-16 11:00:00,Server_Room_AC,3.307,Main
2026-04-16 11:00:00,Canteen_Equipment,1.468,Main
2026-04-16 12:00:00,HVAC_Block_A,3.47,Main
2026-04-16 12:00:00,Lab_PCs,3.473,Main
2026-04-16 12:00:00,Corridor_Lights,2.763,Main
2026-04-16 12:00:00,Server_Room_AC,3.039,Main
2026-04-16 12:00:00,Canteen_Equipment,1.976,Main
2026-04-16 13:00:00,HVAC_Block_A,2.33,Main
2026-04-16 13:00:00,Lab_PCs,1.958,Main
2026-04-16 13:00:00,Corridor_Lights,1.922,Main
2026-04-16 13:00:00,Server_Room_AC,3.16,Main
2026-04-16 13:00:00,Canteen_Equipment,3.296,Main
2026-04-16 14:00:00,HVAC_Block_A,3.56,Main
2026-04-16 14:00:00,Lab_PCs,3.257,Main
2026-04-16 14:00:00,Corridor_Lights,2.86,Main
2026-04-16 14:00:00,Server_Room_AC,2.898,Main
2026-04-16 14:00:00,Canteen_Equipment,2.141,Main
2026-04-16 15:00:00,HVAC_Block_A,2.794,Main
2026-04-16 15:00:00,Lab_PCs,3.143,Main
2026-04-16 15:00:00,Corridor_Lights,1.413,Main
2026-04-16 15:00:00,Server_Room_AC,2.517,Main
2026-04-16 15:00:00,Canteen_Equipment,2.197,Main
2026-04-16 16:00:00,HVAC_Block_A,1.026,Main
2026-04-16 16:00:00,Lab_PCs,1.601,Main
2026-04-16 16:00:00,Corridor_Lights,1.732,Main
2026-04-16 16:00:00,Server_Room_AC,1.677,Main
2026-04-16 16:00:00,Canteen_Equipment,1.541,Main
2026-04-16 17:00:00,HVAC_Block_A,1.242,Main
2026-04-16 17:00:00,Lab_PCs,2.767,Main
2026-04-16 17:00:00,Corridor_Lights,2.58,Main
2026-04-16 17:00:00,Server_Room_AC,1.768,Main
2026-04-16 17:00:00,Canteen_Equipment,1.442,Main
2026-04-16 18:00:00,HVAC_Block_A,2.422,Main
2026-04-16 18:00:00,Lab_PCs,1.404,Main
2026-04-16 18:00:00,Corridor_Lights,2.254,Main
2026-04-16 18:00:00,Server_Room_AC,2.487,Main
2026-04-16 18:00:00,Canteen_Equipment,1.657,Main
2026-04-16 19:00:00,HVAC_Block_A,2.37,Main
2026-04-16 19:00:00,Lab_PCs,1.905,Main
2026-04-16 19:00:00,Corridor_Lights,1.372,Main
2026-04-16 19:00:00,Server_Room_AC,1.383,Main
2026-04-16 19:00:00,Canteen_Equipment,2.035,Main
