timestamp,device,kwh,location
2026-04-15 17:00:00,HVAC_Main,3.519,Main
2026-04-15 17:00:00,HVAC_Server,2.784,Main
2026-04-15 17:00:00,Lighting_Floors,3.962,Main
2026-04-15 17:00:00,UPS_Bank,2.749,Main
2026-04-15 17:00:00,Computers,3.611,Main
2026-04-15 18:00:00,HVAC_Main,3.539,Main
2026-04-15 18:00:00,HVAC_Server,2.834,Main
2026-04-15 18:00:00,Lighting_Floors,1.63,Main
2026-04-15 18:00:00,UPS_Bank,2.15,Main
2026-04-15 18:00:00,Computers,3.148,Main
2026-04-15 19:00:00,HVAC_Main,2.092,Main
2026-04-15 19:00:00,HVAC_Server,1.568,Main
2026-04-15 19:00:00,Lighting_Floors,2.015,Main
2026-04-15 19:00:00,UPS_Bank,1.747,Main
2026-04-15 19:00:00,Computers,2.5,Main
2026-04-15 20:00:00,HVAC_Main,2.351,Main
2026-04-15 20:00:00,HVAC_Server,2.1,Main
2026-04-15 20:00:00,Lighting_Floors,2.947,Main
2026-04-15 20:00:00,UPS_Bank,2.6,Main
2026-04-15 20:00:00,Computers,2.737,Main
2026-04-15 21:00:00,HVAC_Main,3.389,Main
2026-04-15 21:00:00,HVAC_Server,3.994,Main
2026-04-15 21:00:00,Lighting_Floors,2.252,Main
2026-04-15 21:00:00,UPS_Bank,1.965,Main
2026-04-15 21:00:00,Computers,2.64,Main
2026-04-15 22:00:00,HVAC_Main,3.799,Main
2026-04-15 22:00:00,HVAC_Server,12.42,Main
2026-04-15 22:00:00,Lighting_Floors,3.577,Main
2026-04-15 22:00:00,UPS_Bank,3.438,Main
2026-04-15 22:00:00,Computers,2.798,Main
2026-04-15 23:00:00,HVAC_Main,2.22,Main
2026-04-15 23:00:00,HVAC_Server,2.626,Main
2026-04-15 23:00:00,Lighting_Floors,2.181,Main
2026-04-15 23:00:00,UPS_Bank,2.804,Main
2026-04-15 23:00:00,Computers,3.968,Main
2026-04-16 00:00:00,HVAC_Main,1.649,Main
2026-04-16 00:00:00,HVAC_Server,2.879,Main
2026-04-16 00:00:00,Lighting_Floors,3.827,Main
2026-04-16 00:00:00,UPS_Bank,2.527,Main
2026-04-16 00:00:00,Computers,3.193,Main
2026-04-16 01:00:00,HVAC_Main,2.089,Main
2026-04-16 01:00:00,HVAC_Server,3.191,Main
2026-04-16 01:00:00,Lighting_Floors,3.505,Main
2026-04-16 01:00:00,UPS_Bank,3.331,Main
2026-04-16 01:00:00,Computers,2.473,Main
2026-04-16 02:00:00,HVAC_Main,3.288,Main
2026-04-16 02:00:00,HVAC_Server,2.068,Main
2026-04-16 02:00:00,Lighting_Floors,2.451,Main
2026-04-16 02:00:00,UPS_Bank,2.46,Main
2026-04-16 02:00:00,Computers,1.921,Main
2026-04-16 03:00:00,HVAC_Main,3.233,Main
2026-04-16 03:00:00,HVAC_Server,1.707,Main
2026-04-16 03:00:00,Lighting_Floors,1.702,Main
2026-04-16 03:00:00,UPS_Bank,2.163,Main
2026-04-16 03:00:00,Computers,1.575,Main
2026-04-16 04:00:00,HVAC_Main,3.694,Main
2026-04-16 04:00:00,HVAC_Server,2.672,Main
2026-04-16 04:00:00,Lighting_Floors,2.399,Main
2026-04-16 04:00:00,UPS_Bank,2.27,Main
2026-04-16 04:00:00,Computers,2.897,Main
2026-04-16 05:00:00,HVAC_Main,1.882,Main
2026-04-16 05:00:00,HVAC_Server,3.43,Main
2026-04-16 05:00:00,Lighting_Floors,3.504,Main
2026-04-16 05:00:00,UPS_Bank,2.026,Main
2026-04-16 05:00:00,Computers,3.699,Main
2026-04-16 06:00:00,HVAC_Main,3.303,Main
2026-04-16 06:00:00,HVAC_Server,2.193,Main
2026-04-16 06:00:00,Lighting_Floors,2.487,Main
2026-04-16 06:00:00,UPS_Bank,2.039,Main
2026-04-16 06:00:00,Computers,3.154,Main
2026-04-16 07:00:00,HVAC_Main,3.069,Main
2026-04-16 07:00:00,HVAC_Server,1.845,Main
2026-04-16 07:00:00,Lighting_Floors,2.175,Main
2026-04-16 07:00:00,UPS_Bank,1.868,Main
2026-04-16 07:00:00,Computers,2.669,Main
2026-04-16 08:00:00,HVAC_Main,1.77,Main
2026-04-16 08:00:00,HVAC_Server,2.652,Main
2026-04-16 08:00:00,Lighting_Floors,2.753,Main
2026-04-16 08:00:00,UPS_Bank,3.095,Main
2026-04-16 08:00:00,Computers,3.269,Main
2026-04-16 09:00:00,HVAC_Main,1.924,Main
2026-04-16 09:00:00,HVAC_Server,2.856,Main
2026-04-16 09:00:00,Lighting_Floors,1.661,Main
2026-04-16 09:00:00,UPS_Bank,2.567,Main
2026-04-16 09:00:00,Computers,2.545,Main
2026-04-16 10:00:00,HVAC_Main,3.99,Main
2026-04-16 10:00:00,HVAC_Server,2.643,Main
2026-04-16 10:00:00,Lighting_Floors,2.112,Main
2026-04-16 10:00:00,UPS_Bank,2.064,Main
2026-04-16 10:00:00,Computers,3.042,Main
2026-04-16 11:00:00,HVAC_Main,3.247,Main
