timestamp,device,kwh,location
2026-04-15 17:00:00,AC,0.818,Main
2026-04-15 17:00:00,Geyser,0.205,Main
2026-04-15 17:00:00,Washing_Machine,0.86,Main
2026-04-15 17:00:00,Refrigerator,0.751,Main
2026-04-15 17:00:00,TV,0.737,Main
2026-04-15 18:00:00,AC,0.933,Main
2026-04-15 18:00:00,Geyser,0.228,Main
2026-04-15 18:00:00,Washing_Machine,0.462,Main
2026-04-15 18:00:00,Refrigerator,0.458,Main
2026-04-15 18:00:00,TV,0.744,Main
2026-04-15 19:00:00,AC,0.981,Main
2026-04-15 19:00:00,Geyser,1.42,Main
2026-04-15 19:00:00,Washing_Machine,0.262,Main
2026-04-15 19:00:00,Refrigerator,0.383,Main
2026-04-15 19:00:00,TV,1.429,Main
2026-04-15 20:00:00,AC,0.202,Main
2026-04-15 20:00:00,Geyser,0.529,Main
2026-04-15 20:00:00,Washing_Machine,1.406,Main
2026-04-15 20:00:00,Refrigerator,0.591,Main
2026-04-15 20:00:00,TV,1.251,Main
2026-04-15 21:00:00,AC,1.261,Main
2026-04-15 21:00:00,Geyser,1.096,Main
2026-04-15 21:00:00,Washing_Machine,0.205,Main
2026-04-15 21:00:00,Refrigerator,1.055,Main
2026-04-15 21:00:00,TV,1.02,Main
2026-04-15 22:00:00,AC,1.034,Main
2026-04-15 22:00:00,Geyser,1.42,Main
2026-04-15 22:00:00,Washing_Machine,0.687,Main
2026-04-15 22:00:00,Refrigerator,0.654,Main
2026-04-15 22:00:00,TV,0.527,Main
2026-04-15 23:00:00,AC,1.443,Main
2026-04-15 23:00:00,Geyser,1.184,Main
2026-04-15 23:00:00,Washing_Machine,0.545,Main
2026-04-15 23:00:00,Refrigerator,1.279,Main
2026-04-15 23:00:00,TV,1.103,Main
2026-04-16 00:00:00,AC,0.959,Main
2026-04-16 00:00:00,Geyser,0.773,Main
2026-04-16 00:00:00,Washing_Machine,0.729,Main
2026-04-16 00:00:00,Refrigerator,0.216,Main
2026-04-16 00:00:00,TV,0.83,Main
2026-04-16 01:00:00,AC,0.987,Main
2026-04-16 01:00:00,Geyser,0.434,Main
2026-04-16 01:00:00,Washing_Machine,1.115,Main
2026-04-16 01:00:00,Refrigerator,1.137,Main
2026-04-16 01:00:00,TV,0.442,Main
2026-04-16 02:00:00,AC,1.114,Main
2026-04-16 02:00:00,Geyser,0.964,Main
2026-04-16 02:00:00,Washing_Machine,0.756,Main
2026-04-16 02:00:00,Refrigerator,1.243,Main
2026-04-16 02:00:00,TV,1.461,Main
2026-04-16 03:00:00,AC,1.305,Main
2026-04-16 03:00:00,Geyser,1.41,Main
2026-04-16 03:00:00,Washing_Machine,0.646,Main
2026-04-16 03:00:00,Refrigerator,0.542,Main
2026-04-16 03:00:00,TV,1.349,Main
2026-04-16 04:00:00,AC,1.284,Main
2026-04-16 04:00:00,Geyser,0.437,Main
2026-04-16 04:00:00,Washing_Machine,0.207,Main
2026-04-16 04:00:00,Refrigerator,0.25,Main
2026-04-16 04:00:00,TV,0.428,Main
2026-04-16 05:00:00,AC,0.472,Main
2026-04-16 05:00:00,Geyser,0.997,Main
2026-04-16 05:00:00,Washing_Machine,0.99,Main
2026-04-16 05:00:00,Refrigerator,0.958,Main
2026-04-16 05:00:00,TV,1.171,Main
2026-04-16 06:00:00,AC,0.847,Main
2026-04-16 06:00:00,Geyser,0.736,Main
2026-04-16 06:00:00,Washing_Machine,0.965,Main
2026-04-16 06:00:00,Refrigerator,0.476,Main
2026-04-16 06:00:00,TV,0.856,Main
2026-04-16 07:00:00,AC,0.594,Main
2026-04-16 07:00:00,Geyser,0.984,Main
2026-04-16 07:00:00,Washing_Machine,0.946,Main
2026-04-16 07:00:00,Refrigerator,0.343,Main
2026-04-16 07:00:00,TV,1.273,Main
2026-04-16 08:00:00,AC,0.456,Main
2026-04-16 08:00:00,Geyser,0.685,Main
2026-04-16 08:00:00,Washing_Machine,0.936,Main
2026-04-16 08:00:00,Refrigerator,0.48,Main
2026-04-16 08:00:00,TV,0.304,Main
2026-04-16 09:00:00,AC,1.02,Main
2026-04-16 09:00:00,Geyser,1.365,Main
2026-04-16 09:00:00,Washing_Machine,1.189,Main
2026-04-16 09:00:00,Refrigerator,1.06,Main
2026-04-16 09:00:00,TV,1.36,Main
2026-04-16 10:00:00,AC,1.329,Main
