timestamp,device,kwh,location
2026-04-15T00:00:00,Lab_PC,0.106,Lab
2026-04-15T00:30:00,Lab_PC,0.084,Lab
2026-04-15T01:00:00,Lab_PC,0.106,Lab
2026-04-15T01:30:00,Lab_PC,0.12,Lab
2026-04-15T02:00:00,Lab_PC,0.082,Lab
2026-04-15T02:30:00,Lab_PC,0.119,Lab
2026-04-15T03:00:00,Lab_PC,0.096,Lab
2026-04-15T03:30:00,Lab_PC,0.115,Lab
2026-04-15T04:00:00,Lab_PC,0.111,Lab
2026-04-15T04:30:00,Lab_PC,0.103,Lab
2026-04-15T05:00:00,Lab_PC,0.11,Lab
2026-04-15T05:30:00,Lab_PC,0.115,Lab
2026-04-15T06:00:00,Lab_PC,0.07,Lab
2026-04-15T06:30:00,Lab_PC,0.066,Lab
2026-04-15T07:00:00,Lab_PC,0.083,Lab
2026-04-15T07:30:00,Lab_PC,0.09,Lab
2026-04-15T08:00:00,Lab_PC,0.088,Lab
2026-04-15T08:30:00,Lab_PC,0.09,Lab
2026-04-15T09:00:00,Lab_PC,0.974,Lab
2026-04-15T09:30:00,Lab_PC,1.127,Lab
2026-04-15T10:00:00,Lab_PC,0.848,Lab
2026-04-15T10:30:00,Lab_PC,1.018,Lab
2026-04-15T11:00:00,Lab_PC,0.802,Lab
2026-04-15T11:30:00,Lab_PC,0.93,Lab
2026-04-15T12:00:00,Lab_PC,0.947,Lab
2026-04-15T12:30:00,Lab_PC,0.958,Lab
2026-04-15T13:00:00,Lab_PC,1.078,Lab
2026-04-15T13:30:00,Lab_PC,0.955,Lab
2026-04-15T14:00:00,Lab_PC,0.979,Lab
2026-04-15T14:30:00,Lab_PC,0.895,Lab
2026-04-15T15:00:00,Lab_PC,0.949,Lab
2026-04-15T15:30:00,Lab_PC,0.891,Lab
2026-04-15T16:00:00,Lab_PC,0.829,Lab
2026-04-15T16:30:00,Lab_PC,1.041,Lab
2026-04-15T17:00:00,Lab_PC,1.067,Lab
2026-04-15T17:30:00,Lab_PC,1.048,Lab
2026-04-15T18:00:00,Lab_PC,0.439,Lab
2026-04-15T18:30:00,Lab_PC,0.414,Lab
2026-04-15T19:00:00,Lab_PC,0.559,Lab
2026-04-15T19:30:00,Lab_PC,0.456,Lab
2026-04-15T20:00:00,Lab_PC,0.444,Lab
2026-04-15T20:30:00,Lab_PC,0.308,Lab
2026-04-15T21:00:00,Lab_PC,0.402,Lab
2026-04-15T21:30:00,Lab_PC,0.414,Lab
2026-04-15T22:00:00,Lab_PC,0.096,Lab
2026-04-15T22:30:00,Lab_PC,0.103,Lab
2026-04-15T23:00:00,Lab_PC,0.101,Lab
2026-04-15T23:30:00,Lab_PC,0.104,Lab
2026-04-16T00:00:00,Lab_PC,0.111,Lab
2026-04-16T00:30:00,Lab_PC,0.113,Lab
2026-04-16T01:00:00,Lab_PC,0.109,Lab
2026-04-16T01:30:00,Lab_PC,0.118,Lab
2026-04-16T02:00:00,Lab_PC,0.081,Lab
2026-04-16T02:30:00,Lab_PC,0.088,Lab
2026-04-16T03:00:00,Lab_PC,0.08,Lab
2026-04-16T03:30:00,Lab_PC,0.106,Lab
2026-04-16T04:00:00,Lab_PC,0.116,Lab
2026-04-16T04:30:00,Lab_PC,0.09,Lab
2026-04-16T05:00:00,Lab_PC,0.117,Lab
2026-04-16T05:30:00,Lab_PC,0.082,Lab
2026-04-16T06:00:00,Lab_PC,0.097,Lab
2026-04-16T06:30:00,Lab_PC,0.068,Lab
2026-04-16T07:00:00,Lab_PC,0.055,Lab
2026-04-16T07:30:00,Lab_PC,0.074,Lab
2026-04-16T08:00:00,Lab_PC,0.063,Lab
2026-04-16T08:30:00,Lab_PC,0.064,Lab
2026-04-16T09:00:00,Lab_PC,0.923,Lab
2026-04-16T09:30:00,Lab_PC,1.121,Lab
2026-04-16T10:00:00,Lab_PC,1.016,Lab
2026-04-16T10:30:00,Lab_PC,0.925,Lab
2026-04-16T11:00:00,Lab_PC,1.044,Lab
2026-04-16T11:30:00,Lab_PC,1.086,Lab
2026-04-16T12:00:00,Lab_PC,0.909,Lab
2026-04-16T12:30:00,Lab_PC,0.965,Lab
2026-04-16T13:00:00,Lab_PC,0.849,Lab
2026-04-16T13:30:00,Lab_PC,0.872,Lab
2026-04-16T14:00:00,Lab_PC,1.072,Lab
2026-04-16T14:30:00,Lab_PC,0.873,Lab
2026-04-16T15:00:00,Lab_PC,1.01,Lab
2026-04-16T15:30:00,Lab_PC,1.084,Lab
2026-04-16T16:00:00,Lab_PC,0.843,Lab
2026-04-16T16:30:00,Lab_PC,1.027,Lab
2026-04-16T17:00:00,Lab_PC,0.903,Lab
2026-04-16T17:30:00,Lab_PC,1.185,Lab
2026-04-16T18:00:00,Lab_PC,0.445,Lab
2026-04-16T18:30:00,Lab_PC,0.542,Lab
2026-04-16T19:00:00,Lab_PC,0.465,Lab
2026-04-16T19:30:00,Lab_PC,0.313,Lab
2026-04-16T20:00:00,Lab_PC,0.49,Lab
2026-04-16T20:30:00,Lab_PC,0.585,Lab
2026-04-16T21:00:00,Lab_PC,0.48,Lab
2026-04-16T21:30:00,Lab_PC,0.546,Lab
