timestamp,device,kwh,location
2026-04-15T00:00:00,AC,0.021,Bedroom
2026-04-15T00:30:00,AC,0.031,Bedroom
2026-04-15T01:00:00,AC,0.017,Bedroom
2026-04-15T01:30:00,AC,0.024,Bedroom
2026-04-15T02:00:00,AC,0.027,Bedroom
2026-04-15T02:30:00,AC,0.034,Bedroom
2026-04-15T03:00:00,AC,0.075,Bedroom
2026-04-15T03:30:00,AC,0.057,Bedroom
2026-04-15T04:00:00,AC,0.099,Bedroom
2026-04-15T04:30:00,AC,0.041,Bedroom
2026-04-15T05:00:00,AC,0.075,Bedroom
2026-04-15T05:30:00,AC,0.087,Bedroom
2026-04-15T06:00:00,AC,0.068,Bedroom
2026-04-15T06:30:00,AC,0.041,Bedroom
2026-04-15T07:00:00,AC,0.075,Bedroom
2026-04-15T07:30:00,AC,0.02,Bedroom
2026-04-15T08:00:00,AC,0.729,Bedroom
2026-04-15T08:30:00,AC,0.883,Bedroom
2026-04-15T09:00:00,AC,0.903,Bedroom
2026-04-15T09:30:00,AC,0.515,Bedroom
2026-04-15T10:00:00,AC,1.162,Bedroom
2026-04-15T10:30:00,AC,0.988,Bedroom
2026-04-15T11:00:00,AC,0.847,Bedroom
2026-04-15T11:30:00,AC,1.153,Bedroom
2026-04-15T12:00:00,AC,0.807,Bedroom
2026-04-15T12:30:00,AC,1.186,Bedroom
2026-04-15T13:00:00,AC,0.859,Bedroom
2026-04-15T13:30:00,AC,0.58,Bedroom
2026-04-15T14:00:00,AC,1.035,Bedroom
2026-04-15T14:30:00,AC,0.975,Bedroom
2026-04-15T15:00:00,AC,1.041,Bedroom
2026-04-15T15:30:00,AC,1.166,Bedroom
2026-04-15T16:00:00,AC,1.044,Bedroom
2026-04-15T16:30:00,AC,0.928,Bedroom
2026-04-15T17:00:00,AC,1.1,Bedroom
2026-04-15T17:30:00,AC,0.971,Bedroom
2026-04-15T18:00:00,AC,0.041,Bedroom
2026-04-15T18:30:00,AC,0.089,Bedroom
2026-04-15T19:00:00,AC,0.022,Bedroom
2026-04-15T19:30:00,AC,0.071,Bedroom
2026-04-15T20:00:00,AC,0.088,Bedroom
2026-04-15T20:30:00,AC,0.073,Bedroom
2026-04-15T21:00:00,AC,2.349,Bedroom
2026-04-15T21:30:00,AC,2.376,Bedroom
2026-04-15T22:00:00,AC,2.233,Bedroom
2026-04-15T22:30:00,AC,2.437,Bedroom
2026-04-15T23:00:00,AC,0.02,Bedroom
2026-04-15T23:30:00,AC,0.013,Bedroom
2026-04-16T00:00:00,AC,3.0,Bedroom
2026-04-16T00:30:00,AC,3.172,Bedroom
2026-04-16T01:00:00,AC,3.157,Bedroom
2026-04-16T01:30:00,AC,3.374,Bedroom
2026-04-16T02:00:00,AC,0.04,Bedroom
2026-04-16T02:30:00,AC,0.048,Bedroom
2026-04-16T03:00:00,AC,0.001,Bedroom
2026-04-16T03:30:00,AC,0.041,Bedroom
2026-04-16T04:00:00,AC,0.065,Bedroom
2026-04-16T04:30:00,AC,0.002,Bedroom
2026-04-16T05:00:00,AC,0.028,Bedroom
2026-04-16T05:30:00,AC,0.021,Bedroom
2026-04-16T06:00:00,AC,0.004,Bedroom
2026-04-16T06:30:00,AC,0.048,Bedroom
2026-04-16T07:00:00,AC,0.018,Bedroom
2026-04-16T07:30:00,AC,0.074,Bedroom
2026-04-16T08:00:00,AC,1.094,Bedroom
2026-04-16T08:30:00,AC,0.882,Bedroom
2026-04-16T09:00:00,AC,1.187,Bedroom
2026-04-16T09:30:00,AC,0.815,Bedroom
2026-04-16T10:00:00,AC,0.859,Bedroom
2026-04-16T10:30:00,AC,1.192,Bedroom
