timestamp,device,kwh,location
2026-04-15T00:00:00,AC,2.898,Bedroom
2026-04-15T00:30:00,AC,3.005,Bedroom
2026-04-15T01:00:00,AC,3.056,Bedroom
2026-04-15T01:30:00,AC,3.119,Bedroom
2026-04-15T02:00:00,AC,0.039,Bedroom
2026-04-15T02:30:00,AC,0.01,Bedroom
2026-04-15T03:00:00,AC,0.026,Bedroom
2026-04-15T03:30:00,AC,0.03,Bedroom
2026-04-15T04:00:00,AC,0.002,Bedroom
2026-04-15T04:30:00,AC,0.03,Bedroom
2026-04-15T05:00:00,AC,0.009,Bedroom
2026-04-15T05:30:00,AC,0.003,Bedroom
2026-04-15T06:00:00,AC,0.385,Bedroom
2026-04-15T06:30:00,AC,0.39,Bedroom
2026-04-15T07:00:00,AC,0.343,Bedroom
2026-04-15T07:30:00,AC,0.191,Bedroom
2026-04-15T08:00:00,AC,0.568,Bedroom
2026-04-15T08:30:00,AC,0.979,Bedroom
2026-04-15T09:00:00,AC,0.808,Bedroom
2026-04-15T09:30:00,AC,0.585,Bedroom
2026-04-15T10:00:00,AC,0.847,Bedroom
2026-04-15T10:30:00,AC,0.524,Bedroom
2026-04-15T11:00:00,AC,1.137,Bedroom
2026-04-15T11:30:00,AC,0.681,Bedroom
2026-04-15T12:00:00,AC,0.964,Bedroom
2026-04-15T12:30:00,AC,0.718,Bedroom
2026-04-15T13:00:00,AC,0.864,Bedroom
2026-04-15T13:30:00,AC,0.883,Bedroom
2026-04-15T14:00:00,AC,0.629,Bedroom
2026-04-15T14:30:00,AC,1.179,Bedroom
2026-04-15T15:00:00,AC,1.043,Bedroom
2026-04-15T15:30:00,AC,1.158,Bedroom
2026-04-15T16:00:00,AC,1.126,Bedroom
2026-04-15T16:30:00,AC,0.919,Bedroom
2026-04-15T17:00:00,AC,1.145,Bedroom
2026-04-15T17:30:00,AC,0.562,Bedroom
2026-04-15T18:00:00,AC,0.159,Bedroom
2026-04-15T18:30:00,AC,0.114,Bedroom
2026-04-15T19:00:00,AC,0.198,Bedroom
2026-04-15T19:30:00,AC,0.217,Bedroom
2026-04-15T20:00:00,AC,0.181,Bedroom
2026-04-15T20:30:00,AC,0.349,Bedroom
