timestamp,device,kwh,location
2026-04-15 18:00:00,HVAC_Main,2.938,Main
2026-04-15 18:00:00,HVAC_Server,3.682,Main
2026-04-15 18:00:00,Lighting_Floors,1.721,Main
2026-04-15 18:00:00,UPS_Bank,3.925,Main
2026-04-15 18:00:00,Computers,3.295,Main
2026-04-15 19:00:00,HVAC_Main,1.731,Main
2026-04-15 19:00:00,HVAC_Server,2.305,Main
2026-04-15 19:00:00,Lighting_Floors,3.234,Main
2026-04-15 19:00:00,UPS_Bank,2.586,Main
2026-04-15 19:00:00,Computers,3.169,Main
2026-04-15 20:00:00,HVAC_Main,2.528,Main
2026-04-15 20:00:00,HVAC_Server,2.782,Main
2026-04-15 20:00:00,Lighting_Floors,3.376,Main
2026-04-15 20:00:00,UPS_Bank,2.227,Main
2026-04-15 20:00:00,Computers,3.311,Main
2026-04-15 21:00:00,HVAC_Main,2.735,Main
2026-04-15 21:00:00,HVAC_Server,2.13,Main
2026-04-15 21:00:00,Lighting_Floors,1.939,Main
2026-04-15 21:00:00,UPS_Bank,2.083,Main
2026-04-15 21:00:00,Computers,2.556,Main
2026-04-15 22:00:00,HVAC_Main,2.289,Main
2026-04-15 22:00:00,HVAC_Server,1.865,Main
2026-04-15 22:00:00,Lighting_Floors,1.96,Main
2026-04-15 22:00:00,UPS_Bank,3.835,Main
2026-04-15 22:00:00,Computers,1.564,Main
2026-04-15 23:00:00,HVAC_Main,1.524,Main
2026-04-15 23:00:00,HVAC_Server,3.267,Main
2026-04-15 23:00:00,Lighting_Floors,3.816,Main
2026-04-15 23:00:00,UPS_Bank,2.887,Main
2026-04-15 23:00:00,Computers,1.561,Main
2026-04-16 00:00:00,HVAC_Main,1.926,Main
2026-04-16 00:00:00,HVAC_Server,5.519,Main
2026-04-16 00:00:00,Lighting_Floors,3.256,Main
2026-04-16 00:00:00,UPS_Bank,2.527,Main
2026-04-16 00:00:00,Computers,2.741,Main
2026-04-16 01:00:00,HVAC_Main,2.525,Main
2026-04-16 01:00:00,HVAC_Server,2.85,Main
2026-04-16 01:00:00,Lighting_Floors,2.842,Main
2026-04-16 01:00:00,UPS_Bank,2.281,Main
2026-04-16 01:00:00,Computers,3.755,Main
2026-04-16 02:00:00,HVAC_Main,1.963,Main
2026-04-16 02:00:00,HVAC_Server,2.215,Main
2026-04-16 02:00:00,Lighting_Floors,2.052,Main
2026-04-16 02:00:00,UPS_Bank,1.576,Main
2026-04-16 02:00:00,Computers,1.943,Main
2026-04-16 03:00:00,HVAC_Main,2.723,Main
2026-04-16 03:00:00,HVAC_Server,2.956,Main
2026-04-16 03:00:00,Lighting_Floors,1.559,Main
2026-04-16 03:00:00,UPS_Bank,3.832,Main
2026-04-16 03:00:00,Computers,1.865,Main
2026-04-16 04:00:00,HVAC_Main,2.033,Main
2026-04-16 04:00:00,HVAC_Server,1.776,Main
2026-04-16 04:00:00,Lighting_Floors,2.346,Main
2026-04-16 04:00:00,UPS_Bank,1.521,Main
2026-04-16 04:00:00,Computers,2.556,Main
2026-04-16 05:00:00,HVAC_Main,2.392,Main
2026-04-16 05:00:00,HVAC_Server,3.137,Main
2026-04-16 05:00:00,Lighting_Floors,3.3,Main
2026-04-16 05:00:00,UPS_Bank,3.748,Main
2026-04-16 05:00:00,Computers,3.946,Main
2026-04-16 06:00:00,HVAC_Main,2.913,Main
2026-04-16 06:00:00,HVAC_Server,3.236,Main
2026-04-16 06:00:00,Lighting_Floors,3.023,Main
2026-04-16 06:00:00,UPS_Bank,1.693,Main
2026-04-16 06:00:00,Computers,3.881,Main
2026-04-16 07:00:00,HVAC_Main,2.537,Main
2026-04-16 07:00:00,HVAC_Server,2.702,Main
2026-04-16 07:00:00,Lighting_Floors,2.506,Main
2026-04-16 07:00:00,UPS_Bank,1.517,Main
2026-04-16 07:00:00,Computers,3.726,Main
2026-04-16 08:00:00,HVAC_Main,3.871,Main
2026-04-16 08:00:00,HVAC_Server,3.475,Main
2026-04-16 08:00:00,Lighting_Floors,3.044,Main
2026-04-16 08:00:00,UPS_Bank,2.4,Main
2026-04-16 08:00:00,Computers,3.87,Main
2026-04-16 09:00:00,HVAC_Main,3.644,Main
2026-04-16 09:00:00,HVAC_Server,2.698,Main
2026-04-16 09:00:00,Lighting_Floors,2.86,Main
2026-04-16 09:00:00,UPS_Bank,3.94,Main
2026-04-16 09:00:00,Computers,1.687,Main
2026-04-16 10:00:00,HVAC_Main,2.52,Main
2026-04-16 10:00:00,HVAC_Server,3.914,Main
2026-04-16 10:00:00,Lighting_Floors,2.451,Main
2026-04-16 10:00:00,UPS_Bank,1.83,Main
2026-04-16 10:00:00,Computers,3.916,Main
2026-04-16 11:00:00,HVAC_Main,2.484,Main
2026-04-16 11:00:00,HVAC_Server,3.746,Main
2026-04-16 11:00:00,Lighting_Floors,3.85,Main
2026-04-16 11:00:00,UPS_Bank,2.852,Main
2026-04-16 11:00:00,Computers,1.55,Main
2026-04-16 12:00:00,HVAC_Main,4.36,Main
2026-04-16 12:00:00,HVAC_Server,2.248,Main
2026-04-16 12:00:00,Lighting_Floors,3.472,Main
2026-04-16 12:00:00,UPS_Bank,2.453,Main
2026-04-16 12:00:00,Computers,2.971,Main
2026-04-16 13:00:00,HVAC_Main,2.775,Main
2026-04-16 13:00:00,HVAC_Server,3.405,Main
2026-04-16 13:00:00,Lighting_Floors,3.48,Main
2026-04-16 13:00:00,UPS_Bank,2.714,Main
2026-04-16 13:00:00,Computers,2.685,Main
2026-04-16 14:00:00,HVAC_Main,4.428,Main
2026-04-16 14:00:00,HVAC_Server,2.476,Main
2026-04-16 14:00:00,Lighting_Floors,4.264,Main
2026-04-16 14:00:00,UPS_Bank,4.744,Main
2026-04-16 14:00:00,Computers,2.689,Main
2026-04-16 15:00:00,HVAC_Main,4.756,Main
2026-04-16 15:00:00,HVAC_Server,4.443,Main
2026-04-16 15:00:00,Lighting_Floors,3.791,Main
2026-04-16 15:00:00,UPS_Bank,2.063,Main
2026-04-16 15:00:00,Computers,4.783,Main
2026-04-16 16:00:00,HVAC_Main,3.415,Main
2026-04-16 16:00:00,HVAC_Server,3.315,Main
2026-04-16 16:00:00,Lighting_Floors,1.82,Main
2026-04-16 16:00:00,UPS_Bank,3.044,Main
2026-04-16 16:00:00,Computers,2.051,Main
2026-04-16 17:00:00,HVAC_Main,1.577,Main
2026-04-16 17:00:00,HVAC_Server,2.472,Main
2026-04-16 17:00:00,Lighting_Floors,3.081,Main
2026-04-16 17:00:00,UPS_Bank,2.882,Main
2026-04-16 17:00:00,Computers,2.69,Main
2026-04-16 18:00:00,HVAC_Main,1.945,Main
2026-04-16 18:00:00,HVAC_Server,3.845,Main
2026-04-16 18:00:00,Lighting_Floors,2.717,Main
2026-04-16 18:00:00,UPS_Bank,3.44,Main
2026-04-16 18:00:00,Computers,2.261,Main
2026-04-16 19:00:00,HVAC_Main,2.731,Main
2026-04-16 19:00:00,HVAC_Server,2.856,Main
2026-04-16 19:00:00,Lighting_Floors,3.058,Main
2026-04-16 19:00:00,UPS_Bank,1.8,Main
2026-04-16 19:00:00,Computers,3.72,Main
2026-04-16 20:00:00,HVAC_Main,3.824,Main
2026-04-16 20:00:00,HVAC_Server,1.881,Main
2026-04-16 20:00:00,Lighting_Floors,3.624,Main
2026-04-16 20:00:00,UPS_Bank,2.172,Main
2026-04-16 20:00:00,Computers,3.982,Main
2026-04-16 21:00:00,HVAC_Main,3.985,Main
2026-04-16 21:00:00,HVAC_Server,2.665,Main
2026-04-16 21:00:00,Lighting_Floors,2.077,Main
2026-04-16 21:00:00,UPS_Bank,1.906,Main
2026-04-16 21:00:00,Computers,2.132,Main
2026-04-16 22:00:00,HVAC_Main,3.207,Main
2026-04-16 22:00:00,HVAC_Server,2.331,Main
