timestamp,device,kwh,location
2026-04-15 18:00:00,AC,1.3,Main
2026-04-15 18:00:00,Geyser,1.052,Main
2026-04-15 18:00:00,Washing_Machine,0.894,Main
2026-04-15 18:00:00,Refrigerator,1.276,Main
2026-04-15 18:00:00,TV,0.362,Main
2026-04-15 19:00:00,AC,1.238,Main
2026-04-15 19:00:00,Geyser,0.461,Main
2026-04-15 19:00:00,Washing_Machine,0.662,Main
2026-04-15 19:00:00,Refrigerator,0.813,Main
2026-04-15 19:00:00,TV,1.218,Main
2026-04-15 20:00:00,AC,1.291,Main
2026-04-15 20:00:00,Geyser,0.952,Main
2026-04-15 20:00:00,Washing_Machine,0.813,Main
2026-04-15 20:00:00,Refrigerator,1.082,Main
2026-04-15 20:00:00,TV,1.108,Main
2026-04-15 21:00:00,AC,0.661,Main
2026-04-15 21:00:00,Geyser,0.238,Main
2026-04-15 21:00:00,Washing_Machine,1.131,Main
2026-04-15 21:00:00,Refrigerator,1.056,Main
2026-04-15 21:00:00,TV,0.945,Main
2026-04-15 22:00:00,AC,0.612,Main
2026-04-15 22:00:00,Geyser,1.436,Main
2026-04-15 22:00:00,Washing_Machine,0.955,Main
2026-04-15 22:00:00,Refrigerator,0.229,Main
2026-04-15 22:00:00,TV,0.235,Main
2026-04-15 23:00:00,AC,1.05,Main
2026-04-15 23:00:00,Geyser,0.826,Main
2026-04-15 23:00:00,Washing_Machine,0.972,Main
2026-04-15 23:00:00,Refrigerator,0.311,Main
2026-04-15 23:00:00,TV,1.343,Main
2026-04-16 00:00:00,AC,0.334,Main
2026-04-16 00:00:00,Geyser,0.903,Main
2026-04-16 00:00:00,Washing_Machine,1.052,Main
2026-04-16 00:00:00,Refrigerator,0.442,Main
2026-04-16 00:00:00,TV,0.333,Main
2026-04-16 01:00:00,AC,5.726,Main
2026-04-16 01:00:00,Geyser,0.951,Main
2026-04-16 01:00:00,Washing_Machine,1.322,Main
2026-04-16 01:00:00,Refrigerator,0.91,Main
2026-04-16 01:00:00,TV,0.699,Main
